,ID,carat,cut,colour,clarity,depth,price,x,y,P,PC
39,40,0.33,Ideal,I,SI2,61.8,403,1221.212121,6.521035599,NR,Negative
40,41,0.33,Ideal,I,SI2,61.2,403,1221.212121,6.58496732,Negative,Negative
41,42,0.33,Ideal,J,SI1,61.1,403,1221.212121,6.595744681,Positive,Negative
44,45,0.32,Good,H,SI2,63.1,403,1259.375,6.386687797,NR,Negative
45,46,0.29,Premium,F,SI1,62.4,403,1389.655172,6.458333333,SP,Negative
46,47,0.32,Very Good,H,SI2,61.8,403,1259.375,6.521035599,SN,Negative
47,48,0.32,Good,H,SI2,63.8,403,1259.375,6.31661442,SN,Negative
48,49,0.25,Very Good,E,VS2,63.3,404,1616.0,6.382306477,Negative,Negative
49,50,0.29,Very Good,H,SI2,60.7,404,1393.103448,6.65568369,Negative,Negative
50,51,0.24,Very Good,F,SI1,60.9,404,1683.333333,6.633825944,Negative,Negative
51,52,0.23,Ideal,G,VS1,61.9,404,1756.521739,6.526655897,Negative,Negative
52,53,0.32,Ideal,I,SI1,60.9,404,1262.5,6.633825944,SN,Negative
53,54,0.22,Premium,E,VS2,61.6,404,1836.363636,6.558441558,Negative,Negative
54,55,0.22,Premium,D,VS2,59.3,404,1836.363636,6.812816189,SN,Negative
55,56,0.3,Ideal,I,SI2,61.0,405,1350.0,6.639344262,SN,Negative
56,57,0.3,Premium,J,SI2,59.3,405,1350.0,6.829679595,SP,Negative
57,58,0.3,Very Good,I,SI1,62.6,405,1350.0,6.469648562,NR,Negative
58,59,0.3,Very Good,I,SI1,63.0,405,1350.0,6.428571429,NR,Negative
59,60,0.3,Good,I,SI1,63.2,405,1350.0,6.408227848,NR,Negative
60,61,0.35,Ideal,I,VS1,60.9,552,1577.142857,9.064039409,Negative,Negative
61,62,0.3,Premium,D,SI1,62.6,552,1840.0,8.817891374,Positive,Negative
62,63,0.3,Ideal,D,SI1,62.5,552,1840.0,8.832,Positve,Negative
63,64,0.3,Ideal,D,SI1,62.1,552,1840.0,8.888888889,NR,Negative
64,65,0.42,Premium,I,SI2,61.5,552,1314.285714,8.975609756,NR,Negative
65,66,0.28,Ideal,G,VVS2,61.4,553,1975.0,9.006514658,SP,Negative
66,67,0.32,Ideal,I,VVS1,62.0,553,1728.125,8.919354839,SN,Negative
67,68,0.31,Very Good,G,SI1,63.3,553,1783.870968,8.736176935,SN,Negative
68,69,0.31,Premium,G,SI1,61.8,553,1783.870968,8.948220065,Negative,Negative
69,70,0.24,Premium,E,VVS1,60.7,553,2304.166667,9.110378913,Negative,Negative
70,71,0.24,Very Good,D,VVS1,61.5,553,2304.166667,8.991869919,Negative,Negative
71,72,0.3,Very Good,H,SI1,63.1,554,1846.666667,8.779714739,Negative,Negative
72,73,0.3,Premium,H,SI1,62.9,554,1846.666667,8.807631161,SN,Negative
73,74,0.3,Premium,H,SI1,62.5,554,1846.666667,8.864,Negative,Negative
74,75,0.3,Good,H,SI1,63.7,554,1846.666667,8.697017268,SN,Negative
75,76,0.26,Very Good,F,VVS2,59.2,554,2130.769231,9.358108108,SN,Negative
76,77,0.26,Very Good,E,VVS2,59.9,554,2130.769231,9.248747913,SP,Negative
77,78,0.26,Very Good,D,VVS2,62.4,554,2130.769231,8.878205128,NR,Negative
78,79,0.26,Very Good,D,VVS2,62.8,554,2130.769231,8.821656051,NR,Negative
79,80,0.26,Very Good,E,VVS1,62.6,554,2130.769231,8.849840256,NR,Negative
80,81,0.26,Very Good,E,VVS1,63.4,554,2130.769231,8.738170347,Negative,Negative
81,82,0.26,Very Good,D,VVS1,62.1,554,2130.769231,8.921095008,Positive,Negative
82,83,0.26,Ideal,E,VVS2,62.9,554,2130.769231,8.807631161,Positve,Negative
83,84,0.38,Ideal,I,SI2,61.6,554,1457.894737,8.993506494,NR,Negative
85,86,0.24,Premium,G,VVS1,62.3,554,2308.333333,8.892455859,SP,Negative
86,87,0.24,Premium,H,VVS1,61.2,554,2308.333333,9.052287582,SN,Negative
87,88,0.24,Premium,H,VVS1,60.8,554,2308.333333,9.111842105,SN,Negative
88,89,0.24,Premium,H,VVS2,60.7,554,2308.333333,9.126853377,Negative,Negative
89,90,0.32,Premium,I,SI1,62.9,554,1731.25,8.807631161,Negative,Negative
90,91,0.7,Ideal,E,SI1,62.5,2757,3938.571429,44.112,Negative,Negative
92,93,0.7,Ideal,G,VS2,61.6,2757,3938.571429,44.75649351,SN,Negative
93,94,0.71,Very Good,E,VS2,62.4,2759,3885.915493,44.21474359,Negative,Negative
94,95,0.78,Very Good,G,SI2,63.8,2759,3537.179487,43.24451411,SN,Negative
96,97,0.7,Good,F,VS1,59.4,2759,3941.428571,46.44781145,SP,Negative
98,99,0.73,Very Good,E,SI1,61.6,2760,3780.821918,44.80519481,NR,Negative
99,100,0.8,Premium,H,SI1,61.5,2760,3450.0,44.87804878,NR,Negative
100,101,0.75,Very Good,D,SI1,63.2,2760,3680.0,43.67088608,Negative,Negative
101,102,0.75,Premium,E,SI1,59.9,2760,3680.0,46.07679466,Positive,Negative
102,103,0.74,Ideal,G,SI1,61.6,2760,3729.72973,44.80519481,Positve,Negative
103,104,0.75,Premium,G,VS2,61.7,2760,3680.0,44.73257699,NR,Negative
104,105,0.8,Ideal,I,VS1,62.9,2760,3450.0,43.87917329,NR,Negative
105,106,0.75,Ideal,G,SI1,62.2,2760,3680.0,44.37299035,Negative,Negative
106,107,0.8,Premium,G,SI1,63.0,2760,3450.0,43.80952381,Positive,Negative
107,108,0.74,Ideal,I,VVS2,62.3,2761,3731.081081,44.31781701,Positve,Negative
108,109,0.81,Ideal,F,SI2,58.8,2761,3408.641975,46.95578231,NR,Negative
109,110,0.59,Ideal,E,VVS2,62.0,2761,4679.661017,44.53225806,NR,Negative
110,111,0.8,Ideal,F,SI2,61.4,2761,3451.25,44.96742671,SP,Negative
111,112,0.74,Ideal,E,SI2,62.2,2761,3731.081081,44.38906752,SN,Negative
112,113,0.9,Premium,I,VS2,63.0,2761,3067.777778,43.82539683,SN,Negative
113,114,0.74,Very Good,G,SI1,62.2,2762,3732.432432,44.40514469,Negative,Negative
114,115,0.73,Ideal,F,VS2,62.6,2762,3783.561644,44.12140575,Negative,Negative
115,116,0.73,Ideal,F,VS2,62.7,2762,3783.561644,44.05103668,Negative,Negative
116,117,0.8,Premium,F,SI2,61.7,2762,3452.5,44.7649919,Negative,Negative
117,118,0.71,Ideal,G,VS2,62.4,2762,3890.140845,44.26282051,SN,Negative
118,119,0.7,Ideal,E,VS2,60.7,2762,3945.714286,45.50247117,Negative,Negative
119,120,0.8,Ideal,F,SI2,59.9,2762,3452.5,46.11018364,SN,Negative
120,121,0.71,Ideal,D,SI2,62.3,2762,3890.140845,44.33386838,SN,Negative
121,122,0.74,Ideal,E,SI1,62.3,2762,3732.432432,44.33386838,SP,Negative
122,123,0.7,Very Good,F,VS2,61.7,2762,3945.714286,44.7649919,NR,Negative
123,124,0.7,Fair,F,VS2,64.5,2762,3945.714286,42.82170543,NR,Negative
125,126,0.7,Premium,F,VS2,61.6,2762,3945.714286,44.83766234,Negative,Negative
126,127,0.91,Premium,H,SI1,61.4,2763,3036.263736,45.0,Positive,Negative
127,128,0.61,Very Good,D,VVS2,59.6,2763,4529.508197,46.3590604,Positve,Negative
128,129,0.91,Fair,H,SI2,64.4,2763,3036.263736,42.90372671,NR,Negative
130,131,0.77,Ideal,H,VS2,62.0,2763,3588.311688,44.56451613,SP,Negative
131,132,0.71,Very Good,D,SI1,63.6,2764,3892.957746,43.4591195,SN,Negative
132,133,0.71,Ideal,D,SI1,61.9,2764,3892.957746,44.65266559,SN,Negative
133,134,0.7,Very Good,E,VS2,62.6,2765,3950.0,44.16932907,Negative,Negative
134,135,0.77,Very Good,H,VS1,61.3,2765,3590.909091,45.10603589,Negative,Negative
135,136,0.63,Premium,E,VVS1,60.9,2765,4388.888889,45.40229885,Negative,Negative
136,137,0.71,Very Good,F,VS1,60.1,2765,3894.366197,46.00665557,Negative,Negative
137,138,0.71,Premium,F,VS1,61.8,2765,3894.366197,44.74110032,SN,Negative
138,139,0.76,Ideal,H,SI1,61.2,2765,3638.157895,45.17973856,Negative,Negative
139,140,0.64,Ideal,G,VVS1,61.9,2766,4321.875,44.68497577,SN,Negative
140,141,0.71,Premium,G,VS2,60.9,2766,3895.774648,45.41871921,SN,Negative
141,142,0.71,Premium,G,VS2,59.8,2766,3895.774648,46.2541806,SP,Negative
142,143,0.7,Very Good,D,VS2,61.8,2767,3952.857143,44.77346278,NR,Negative
143,144,0.7,Very Good,F,VS1,60.0,2767,3952.857143,46.11666667,NR,Negative
144,145,0.71,Ideal,D,SI2,61.6,2767,3897.183099,44.91883117,NR,Negative
145,146,0.7,Good,H,VVS2,62.1,2767,3952.857143,44.55716586,Negative,Negative
146,147,0.71,Very Good,G,VS1,63.3,2768,3898.591549,43.72827804,Positive,Negative
147,148,0.73,Very Good,D,SI1,60.2,2768,3791.780822,45.98006645,Positve,Negative
148,149,0.7,Very Good,D,SI1,61.1,2768,3954.285714,45.30278232,NR,Negative
149,150,0.7,Ideal,E,SI1,60.9,2768,3954.285714,45.45155993,NR,Negative
150,151,0.71,Premium,D,SI2,61.7,2768,3898.591549,44.86223663,SP,Negative
151,152,0.74,Ideal,I,SI1,61.3,2769,3741.891892,45.17128874,SN,Negative
152,153,0.71,Premium,D,VS2,62.5,2770,3901.408451,44.32,SN,Negative
153,154,0.73,Premium,G,VS2,61.4,2770,3794.520548,45.11400651,Negative,Negative
154,155,0.76,Very Good,F,SI1,62.9,2770,3644.736842,44.0381558,Negative,Negative
155,156,0.76,Ideal,D,SI2,62.4,2770,3644.736842,44.39102564,Negative,Negative
156,157,0.71,Ideal,F,SI1,60.7,2770,3901.408451,45.63426689,Negative,Negative
157,158,0.73,Premium,G,VS2,60.7,2770,3794.520548,45.63426689,SN,Negative
158,159,0.73,Premium,G,VS1,61.5,2770,3794.520548,45.04065041,Negative,Negative
159,160,0.73,Ideal,D,SI2,59.9,2770,3794.520548,46.24373957,SN,Negative
160,161,0.73,Premium,G,VS2,59.2,2770,3794.520548,46.79054054,SN,Negative
161,162,0.72,Very Good,H,VVS2,60.3,2771,3848.611111,45.95356551,SP,Negative
162,163,0.73,Very Good,F,SI1,61.7,2771,3795.890411,44.910859,NR,Negative
163,164,0.71,Ideal,G,VS2,61.9,2771,3902.816901,44.76575121,NR,Negative
164,165,0.79,Ideal,F,SI2,61.9,2771,3507.594937,44.76575121,NR,Negative
165,166,0.73,Very Good,H,VVS1,60.4,2772,3797.260274,45.89403974,Negative,Negative
166,167,0.8,Very Good,F,SI2,61.0,2772,3465.0,45.44262295,Positive,Negative
167,168,0.58,Ideal,G,VVS1,61.5,2772,4779.310345,45.07317073,Negative,Negative
168,169,0.58,Ideal,F,VVS1,61.7,2772,4779.310345,44.92706645,Positive,Negative
169,170,0.71,Good,E,VS2,59.2,2772,3904.225352,46.82432432,Positve,Negative
170,171,0.75,Ideal,D,SI2,61.3,2773,3697.333333,45.2365416,NR,Negative
172,173,1.17,Very Good,J,I1,60.2,2774,2370.940171,46.07973422,SP,Negative
173,174,0.6,Ideal,E,VS1,61.7,2774,4623.333333,44.95948136,SN,Negative
174,175,0.7,Ideal,E,SI1,62.7,2774,3962.857143,44.24242424,SN,Negative
175,176,0.83,Good,I,VS2,64.6,2774,3342.168675,42.94117647,Negative,Negative
176,177,0.74,Very Good,F,VS2,61.3,2775,3750.0,45.26916803,Negative,Negative
177,178,0.72,Very Good,G,VS2,63.7,2776,3855.555556,43.57927786,Negative,Negative
178,179,0.71,Premium,E,VS2,62.7,2776,3909.859155,44.27432217,Negative,Negative
179,180,0.71,Ideal,E,VS2,62.2,2776,3909.859155,44.63022508,SN,Negative
180,181,0.54,Ideal,E,VVS2,61.6,2776,5140.740741,45.06493506,Negative,Negative
181,182,0.54,Ideal,E,VVS2,61.5,2776,5140.740741,45.13821138,SN,Negative
182,183,0.72,Ideal,G,SI1,61.8,2776,3855.555556,44.91909385,SN,Negative
183,184,0.72,Ideal,G,SI1,60.7,2776,3855.555556,45.73311367,SP,Negative
184,185,0.72,Good,G,VS2,59.7,2776,3855.555556,46.49916248,NR,Negative
185,186,0.71,Ideal,G,SI1,60.5,2776,3909.859155,45.88429752,NR,Negative
186,187,0.7,Very Good,D,VS1,62.7,2777,3967.142857,44.29027113,NR,Negative
187,188,0.71,Premium,F,VS2,62.1,2777,3911.267606,44.71819646,Negative,Negative
188,189,0.71,Very Good,F,VS2,62.8,2777,3911.267606,44.21974522,Positive,Negative
189,190,0.71,Good,F,VS2,63.8,2777,3911.267606,43.52664577,Positve,Negative
191,192,0.7,Ideal,E,VS2,62.1,2777,3967.142857,44.71819646,NR,Negative
192,193,0.7,Premium,E,VS2,61.1,2777,3967.142857,45.45008183,SP,Negative
193,194,0.7,Premium,E,SI1,60.0,2777,3967.142857,46.28333333,SN,Negative
194,195,0.7,Premium,E,SI1,61.2,2777,3967.142857,45.37581699,SN,Negative
195,196,0.7,Premium,E,SI1,62.7,2777,3967.142857,44.29027113,Negative,Negative
196,197,0.7,Premium,E,SI1,61.0,2777,3967.142857,45.52459016,Negative,Negative
197,198,0.7,Premium,E,SI1,61.0,2777,3967.142857,45.52459016,Negative,Negative
198,199,0.7,Ideal,E,SI1,61.4,2777,3967.142857,45.22801303,Negative,Negative
199,200,0.72,Premium,F,SI1,61.8,2777,3856.944444,44.93527508,SN,Negative
200,201,0.7,Very Good,E,SI1,59.9,2777,3967.142857,46.360601,Negative,Negative
201,202,0.7,Premium,E,SI1,61.3,2777,3967.142857,45.30179445,Negative,Negative
202,203,0.7,Premium,E,SI1,60.5,2777,3967.142857,45.90082645,Positive,Negative
203,204,0.7,Good,E,VS2,64.1,2777,3967.142857,43.32293292,Positve,Negative
205,206,0.78,Premium,F,SI1,62.4,2777,3560.25641,44.50320513,NR,NR
206,207,0.7,Very Good,E,SI1,63.2,2777,3967.142857,43.93987342,SP,NR
207,208,0.52,Ideal,F,VVS1,61.3,2778,5342.307692,45.31810767,SN,NR
208,209,0.73,Very Good,H,VS2,60.8,2779,3806.849315,45.70723684,SN,NR
209,210,0.74,Ideal,E,SI1,61.7,2779,3755.405405,45.04051864,Negative,NR
210,211,0.7,Very Good,F,VS2,63.6,2780,3971.428571,43.71069182,Negative,NR
211,212,0.77,Premium,G,VS2,61.2,2780,3610.38961,45.4248366,Negative,NR
212,213,0.71,Ideal,F,VS2,62.1,2780,3915.492958,44.76650564,Negative,NR
213,214,0.74,Ideal,G,VS1,61.5,2780,3756.756757,45.20325203,SN,NR
214,215,0.7,Ideal,G,VS1,61.4,2780,3971.428571,45.27687296,Negative,NR
215,216,1.01,Premium,F,I1,61.8,2781,2753.465347,45.0,SN,NR
216,217,0.77,Ideal,H,SI1,62.2,2781,3611.688312,44.71061093,SN,NR
217,218,0.78,Ideal,H,SI1,61.2,2781,3565.384615,45.44117647,SP,NR
218,219,0.72,Very Good,H,VS1,60.6,2782,3863.888889,45.90759076,NR,NR
220,221,0.76,Ideal,G,VS2,61.3,2782,3660.526316,45.38336052,NR,NR
222,223,0.7,Premium,E,VS1,62.9,2782,3974.285714,44.22893482,Positive,NR
223,224,0.75,Very Good,D,SI2,63.1,2782,3709.333333,44.08874802,Positve,NR
224,225,0.72,Ideal,D,SI1,60.8,2782,3863.888889,45.75657895,NR,NR
225,226,0.72,Premium,D,SI1,62.7,2782,3863.888889,44.37001595,NR,NR
226,227,0.7,Premium,D,SI1,62.8,2782,3974.285714,44.29936306,SP,NR
228,229,0.75,Premium,F,SI1,61.4,2782,3709.333333,45.30944625,SN,NR
229,230,0.52,Ideal,F,IF,62.2,2783,5351.923077,44.74276527,Negative,NR
230,231,0.72,Very Good,F,VS2,63.0,2784,3866.666667,44.19047619,Negative,NR
231,232,0.79,Very Good,H,VS1,63.7,2784,3524.050633,43.70486656,Negative,NR
232,233,0.72,Very Good,F,VS2,63.6,2787,3870.833333,43.82075472,Negative,NR
233,234,0.51,Ideal,F,VVS1,62.0,2787,5464.705882,44.9516129,SN,NR
234,235,0.64,Ideal,D,VS1,61.5,2787,4354.6875,45.31707317,Negative,NR
235,236,0.7,Very Good,H,VVS1,60.5,2788,3982.857143,46.08264463,SN,NR
236,237,0.83,Very Good,I,VS1,61.1,2788,3359.036145,45.63011457,SN,NR
237,238,0.76,Ideal,I,VVS2,61.8,2788,3668.421053,45.11326861,SP,NR
238,239,0.71,Good,D,VS2,63.3,2788,3926.760563,44.04423381,NR,NR
239,240,0.77,Good,G,VS1,59.4,2788,3620.779221,46.93602694,NR,NR
240,241,0.71,Ideal,F,SI1,62.5,2788,3926.760563,44.608,NR,NR
241,242,1.01,Fair,E,I1,64.5,2788,2760.39604,43.2248062,Negative,NR
242,243,1.01,Premium,H,SI2,62.7,2788,2760.39604,44.46570973,Positive,NR
243,244,0.77,Good,F,SI1,64.2,2789,3622.077922,43.4423676,Positve,NR
244,245,0.76,Good,E,SI1,63.7,2789,3669.736842,43.7833595,NR,NR
245,246,0.76,Premium,E,SI1,60.4,2789,3669.736842,46.17549669,NR,NR
246,247,0.76,Premium,E,SI1,61.8,2789,3669.736842,45.12944984,SP,NR
247,248,1.05,Very Good,J,SI2,63.2,2789,2656.190476,44.12974684,SN,NR
248,249,0.81,Ideal,G,SI2,61.6,2789,3443.209877,45.27597403,SN,NR
249,250,0.7,Ideal,E,SI1,61.6,2789,3984.285714,45.27597403,Negative,NR
250,251,0.55,Ideal,G,IF,60.9,2789,5070.909091,45.79638752,Negative,NR
251,252,0.81,Good,G,SI2,61.0,2789,3443.209877,45.72131148,Negative,NR
252,253,0.63,Premium,E,VVS2,62.1,2789,4426.984127,44.91143317,Negative,NR
253,254,0.63,Premium,E,VVS1,60.9,2789,4426.984127,45.79638752,SN,NR
254,255,0.77,Premium,H,VS1,61.3,2789,3622.077922,45.49755302,Negative,NR
256,257,0.64,Ideal,G,IF,61.3,2790,4359.375,45.51386623,SN,NR
257,258,0.76,Premium,I,VVS1,58.8,2790,3671.052632,47.44897959,SP,NR
258,259,0.83,Ideal,F,SI2,62.3,2790,3361.445783,44.78330658,NR,NR
259,260,0.71,Premium,F,VS1,60.1,2790,3929.577465,46.42262895,NR,NR
260,261,0.71,Premium,F,VS1,61.8,2790,3929.577465,45.14563107,NR,NR
261,262,0.87,Very Good,I,SI1,63.6,2791,3208.045977,43.8836478,Negative,NR
262,263,0.73,Ideal,E,SI1,62.2,2791,3823.287671,44.87138264,Positive,NR
263,264,0.71,Premium,E,SI1,59.2,2792,3932.394366,47.16216216,Positve,NR
264,265,0.71,Premium,E,SI1,61.8,2792,3932.394366,45.17799353,NR,NR
265,266,0.71,Ideal,E,SI1,61.3,2792,3932.394366,45.54649266,NR,NR
266,267,0.7,Premium,F,VS1,62.1,2792,3988.571429,44.95974235,SP,NR
267,268,0.7,Premium,F,VS1,60.7,2792,3988.571429,45.99670511,SN,NR
268,269,0.76,Premium,H,VVS2,59.6,2792,3673.684211,46.84563758,SN,NR
269,270,0.7,Ideal,F,VS1,62.2,2792,3988.571429,44.88745981,Negative,NR
270,271,0.79,Very Good,G,SI1,60.6,2793,3535.443038,46.08910891,Negative,NR
271,272,0.7,Very Good,E,VS2,62.9,2793,3990.0,44.40381558,Negative,NR
272,273,0.7,Good,E,VS2,64.1,2793,3990.0,43.5725429,Negative,NR
273,274,0.76,Ideal,I,VS2,61.3,2793,3675.0,45.56280587,SN,NR
274,275,0.73,Ideal,H,VS2,62.7,2793,3826.027397,44.54545455,Negative,NR
275,276,0.79,Very Good,E,SI1,63.2,2794,3536.708861,44.20886076,SN,NR
276,277,0.71,Very Good,E,VS2,60.7,2795,3936.619718,46.0461285,SN,NR
277,278,0.81,Premium,I,VVS2,61.9,2795,3450.617284,45.15347334,SP,NR
278,279,0.81,Ideal,F,SI2,62.6,2795,3450.617284,44.6485623,NR,NR
279,280,0.72,Good,F,VS1,60.7,2795,3881.944444,46.0461285,NR,NR
280,281,0.72,Premium,D,SI2,62.0,2795,3881.944444,45.08064516,NR,NR
281,282,0.72,Premium,I,IF,63.0,2795,3881.944444,44.36507937,Negative,NR
283,284,0.72,Premium,G,VS2,62.9,2795,3881.944444,44.43561208,Positve,NR
285,286,0.73,Good,E,SI1,63.2,2796,3830.136986,44.24050633,NR,NR
286,287,0.81,Very Good,H,SI2,61.3,2797,3453.08642,45.62805873,SP,NR
287,288,0.81,Very Good,E,SI1,60.3,2797,3453.08642,46.38474295,SN,NR
288,289,0.71,Premium,D,SI1,62.7,2797,3939.43662,44.6092504,SN,NR
289,290,0.71,Premium,D,SI1,61.3,2797,3939.43662,45.62805873,Negative,NR
290,291,0.71,Premium,D,SI1,61.6,2797,3939.43662,45.40584416,Negative,NR
291,292,0.57,Ideal,F,VVS2,61.9,2797,4907.017544,45.18578352,Negative,NR
292,293,0.51,Ideal,D,VVS1,61.7,2797,5484.313725,45.33225284,Negative,NR
293,294,0.72,Ideal,G,VS2,61.9,2797,3884.722222,45.18578352,SN,NR
294,295,0.74,Ideal,H,VS1,61.8,2797,3779.72973,45.25889968,Negative,NR
295,296,0.74,Ideal,H,VS1,61.6,2797,3779.72973,45.40584416,SN,NR
296,297,0.7,Fair,G,VVS1,58.8,2797,3995.714286,47.56802721,SN,NR
297,298,0.8,Premium,F,SI2,61.0,2797,3496.25,45.85245902,SP,NR
299,300,0.8,Very Good,H,VS2,63.4,2797,3496.25,44.11671924,NR,NR
300,301,0.77,Ideal,I,VS1,61.5,2798,3633.766234,45.49593496,NR,NR
302,303,0.82,Ideal,F,SI2,62.4,2799,3413.414634,44.85576923,Positive,NR
303,304,0.78,Ideal,D,SI1,61.9,2799,3588.461538,45.2180937,Positve,NR
304,305,0.6,Very Good,G,IF,61.6,2800,4666.666667,45.45454545,NR,NR
305,306,0.9,Good,I,SI2,62.2,2800,3111.111111,45.01607717,NR,NR
306,307,0.7,Premium,E,VS1,62.2,2800,4000.0,45.01607717,Negative,NR
307,308,0.9,Very Good,I,SI2,61.3,2800,3111.111111,45.67699837,Positive,NR
308,309,0.83,Ideal,G,SI1,62.3,2800,3373.493976,44.94382022,Positve,NR
309,310,0.83,Ideal,G,SI1,61.8,2800,3373.493976,45.30744337,NR,NR
310,311,0.83,Very Good,H,SI1,62.5,2800,3373.493976,44.8,NR,NR
311,312,0.74,Premium,G,VS1,62.9,2800,3783.783784,44.51510334,SP,NR
312,313,0.79,Ideal,I,VS1,61.8,2800,3544.303797,45.30744337,SN,NR
313,314,0.61,Ideal,G,IF,62.3,2800,4590.163934,44.94382022,SN,NR
314,315,0.76,Fair,G,VS1,59.0,2800,3684.210526,47.45762712,Negative,NR
315,316,0.96,Ideal,F,I1,60.7,2801,2917.708333,46.14497529,Negative,NR
316,317,0.73,Ideal,F,VS2,62.5,2801,3836.986301,44.816,Negative,NR
317,318,0.73,Premium,F,VS2,62.7,2801,3836.986301,44.67304625,Negative,NR
318,319,0.75,Ideal,H,SI1,60.4,2801,3734.666667,46.37417219,SN,NR
319,320,0.71,Premium,F,VS2,62.1,2801,3945.070423,45.10466989,Negative,NR
321,322,0.71,Good,F,VS2,63.8,2801,3945.070423,43.90282132,SN,NR
322,323,0.71,Premium,F,VS2,62.8,2801,3945.070423,44.60191083,SP,NR
323,324,1.04,Premium,G,I1,62.2,2801,2693.269231,45.03215434,NR,NR
324,325,1.0,Premium,J,SI2,62.3,2801,2801.0,44.95987159,NR,NR
325,326,0.87,Very Good,G,SI2,59.9,2802,3220.689655,46.77796327,NR,NR
326,327,0.53,Ideal,F,IF,61.9,2802,5286.792453,45.26655897,Negative,NR
327,328,0.72,Premium,E,VS2,63.0,2802,3891.666667,44.47619048,Positive,NR
328,329,0.72,Premium,F,VS1,62.4,2802,3891.666667,44.90384615,Positve,NR
329,330,0.7,Very Good,F,VS2,62.9,2803,4004.285714,44.56279809,NR,NR
330,331,0.74,Very Good,E,SI1,63.5,2803,3787.837838,44.14173228,NR,NR
331,332,0.71,Ideal,G,VS2,61.3,2803,3947.887324,45.72593801,SP,NR
332,333,0.73,Ideal,E,SI1,60.6,2803,3839.726027,46.25412541,SN,NR
334,335,0.71,Premium,F,VS2,62.6,2803,3947.887324,44.77635783,Negative,NR
336,337,0.71,Premium,G,VS1,62.4,2803,3947.887324,44.91987179,Negative,NR
337,338,0.77,Premium,G,VS2,61.3,2803,3640.25974,45.72593801,Negative,NR
338,339,0.71,Premium,G,VS2,59.9,2803,3947.887324,46.79465776,SN,NR
339,340,0.78,Premium,G,VS2,60.8,2803,3593.589744,46.10197368,Negative,NR
340,341,0.71,Very Good,G,VS1,63.5,2803,3947.887324,44.14173228,SN,NR
